hour_price,summer_weekday,summer_weekend,winter_weekday_solar,winter_weekend
1,0.11581,0.11581,0.11854,0.11854
2,0.11581,0.11581,0.11854,0.11854
3,0.11581,0.11581,0.11854,0.11854
4,0.11581,0.11581,0.11854,0.11854
5,0.11581,0.11581,0.11854,0.11854
6,0.11581,0.11581,0.11854,0.11854
7,0.23988,0.11581,0.18853,0.11854
8,0.23988,0.11581,0.18853,0.11854
9,0.23988,0.11581,0.18853,0.11854
10,0.23988,0.11581,0.18853,0.11854
11,0.23988,0.11581,0,0.11854
12,0.23988,0.11581,0,0.11854
13,0.23988,0.11581,0,0.11854
14,0.43901,0.11581,0,0.11854
15,0.43901,0.43901,0,0.30685
16,0.43901,0.43901,0.30685,0.30685
17,0.43901,0.43901,0.30685,0.30685
18,0.43901,0.43901,0.30685,0.30685
19,0.43901,0.11581,0.30685,0.11854
20,0.43901,0.11581,0.30685,0.11854
21,0.23988,0.11581,0.18853,0.11854
22,0.23988,0.11581,0.18853,0.11854
23,0.23988,0.11581,0.18853,0.11854
24,0.11581,0.11581,0.11854,0.11854
